,id,sku,max_image
131,168955473,6226233154615,6
132,153257627,4448501584904,1
133,125779104,4868682652491,3
134,128270096,2961345537984,6
135,128269143,5717803628957,9
136,213492266,5528030481551,7
137,182301306,8386086670387,7
138,101056081,6871966723408,9
139,37093598,9629255553331,3
140,116624684,6297956237427,2
141,124146432,2979584686366,7
142,160319113,6969289783130,8
143,79640418,1967858825579,9
144,125778921,1305618775282,8
145,142050498,9430282538081,5
146,112961466,2939038945430,10
147,124146504,7879590616285,10
148,244115310,6617852820638,7
149,183912449,2162150078760,5
150,178958445,7279704887261,3
151,54362596,7758174561232,13
152,115715843,2639932811775,6
153,91377231,3226279427939,8
154,68960057,8509139151826,9
155,36854723,9005332708908,1
156,248941759,2333939154957,6
157,145124435,6236583550390,9
158,205179021,2284155841939,10
159,104022748,5274467500780,9
160,137752575,4567752283348,5
161,192985403,8966093147972,6
162,176759174,1667216928566,8
163,250722014,3897158556423,3
164,204670803,6789199265882,1
165,67347764,2701092379293,9
166,184779478,3541167247062,2
167,101644511,9404100991737,3
168,116623750,5093471638261,9
169,191427316,5640058096101,7
170,184772912,4842121404162,5
171,180103631,4784626728535,10
172,125781705,2805228816222,1
173,50010947,1172705732841,5
174,71088622,9785323996858,9
175,165271530,6175413193077,9
176,90929157,9400557596571,10
177,184769000,5613448485300,5
178,169041398,3740586797294,6
179,94119528,6216225565148,3
180,178211269,5820614270555,9
181,81283642,6983823937142,5
182,244108591,7673430019176,9
183,165258106,7984246419101,10
184,178323168,7514510112846,9
185,155522630,8848044555816,10
186,109619395,2563257641217,9
187,15460751,9271494338745,9
188,89777602,2324470677746,2
189,108849654,2417028478318,5
190,196889497,2016003318191,5
191,201485404,7351403418799,9
192,66677415,4316808454966,8
193,155601128,5607114439896,8
194,71027683,9639035048025,6
195,183375315,7683314575110,6
196,173219007,7181156536979,7
197,184315642,5431330948174,7
198,181805135,4770284478479,10
199,25388902,3397953659148,11
200,191427347,7534403715444,7
201,112500211,5467110952991,9
202,193329161,3793215273206,9
203,201686898,1135376832143,6
204,95878876,7681071707356,10
205,99327110,1498512689254,10
206,7712057,3639648698231,1
207,249942205,1360185651238,10
208,178336791,1615145703397,8
209,249941817,5173680517928,8
210,177774990,7621813977165,3
211,48995733,5730263362793,1
212,20495948,8068277491855,1
213,176544318,4131598616039,9
