,product_id
323,248762051
324,217539600
325,198111545
326,197960169
327,176036536
328,217422737
329,244167098
330,172826900
331,169734558
332,194020045
333,181918564
334,113920073
335,248799307
336,216175761
337,158714974
338,160450655
339,244168988
340,221230394
341,48324874
342,209299763
343,242712931
344,245770806
345,159887168
346,195231834
347,200995800
348,205161232
349,230082250
350,243165179
351,197922924
352,179717941
353,217320709
354,202046077
355,196200197
356,176438852
357,163318271
358,185887807
359,171889281
360,213892321
361,159887209
362,242712374
363,160434731
364,168055450
365,198084820
366,242767053
367,214603586
368,169457923
369,74776150
370,151463645
371,220669668
372,155833852
373,217645692
374,172001933
375,198096634
376,217505504
377,195436019
378,72290345
379,135266139
380,245769514
381,193206657
382,167383164
383,68693081
384,146365404
385,242771940
386,213893316
387,217511921
388,215746871
389,162355432
390,248929458
391,5868813
392,153581568
393,137582801
394,191621019
395,210280612
396,164923596
397,170346955
398,248880498
399,217614333
400,189466001
401,199196755
402,119461456
403,206481184
404,248688169
405,112695200
406,189937184
407,225231572
408,187254759
409,248005118
410,247427990
411,244182370
412,204802771
413,181216830
414,248911447
415,242657652
416,158880691
417,4048043
418,175851126
419,191636459
420,258667842
421,174085242
422,153581567
423,181699208
424,166613831
425,201631518
426,217540528
427,84757299
428,201001781
429,252073151
430,206237925
431,205518952
432,252882569
433,140747649
434,144200408
435,197605015
436,167465209
437,169459856
438,243088234
439,62242668
440,262338509
441,168183442
442,245770248
443,248655651
444,215746882
445,188868071
446,197605784
447,251254600
448,118486668
449,225172279
450,196197701
451,208126172
452,189935254
453,259542697
454,118100164
455,215097578
456,191689934
457,217158870
458,215125094
459,201490941
460,7447383
461,212324916
462,196348143
463,167465972
464,181928208
465,181699278
466,4065251
467,217158529
468,188127351
469,213925303
470,197654695
471,200829966
472,189934829
473,213587929
474,121154009
475,188948646
476,252392905
477,160819279
478,193207892
479,170727266
480,135228421
481,190558349
482,252073087
483,189937243
484,195894801
485,172313857
486,189937468
487,172329599
488,190109961
489,213892728
490,193206432
491,196197861
492,253395356
493,175772412
494,141480009
495,215119245
496,194523288
497,4065031
498,185755283
499,141774833
500,251930450
501,11802138
502,198587877
503,181699058
504,200816374
505,195177036
506,243088260
507,249955152
508,47292697
509,31820638
510,213969615
511,174067758
512,193208070
513,198188785
514,252073258
515,213926485
516,249285315
517,246163082
518,144201385
519,188833923
